Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,label,review_length,word_count,textblob_polarity,vader_compound,hf_sentiment
443594,B000W5QT3A,AK6FYIJTVHD00,Michael S,1,1,5,1309132800,Outstanding Food!!!,"This is a very high quality dog food with meat and fruits, and 0 grains. My dog loves the food after I switched him from a pretty decent dog food (kirkland super premium adult chicken formula), but I noticed my dog was licking his paws and was scratching every once in a while on that food. I switched to this food and no more licking his paws, he scratches less, and has a beautiful coat.<br /><br />dogfoodanalysis.com has this as a 6 out of 6 star dog food and it truly is a top end choice. It is a bit pricy at $50 for 25lbs, but much cheaper than Orijen it appears. Too bad they don't make a 40lb bag!",1,606,120,0.05969444444444446,0.864,0.9966073036193848
136950,B002AQP5FW,A1TVQIM8J5AZB7,S. Schroeder,20,20,5,1246579200,Thank you Betty Crocker,I love this cake mix and the other 3 mixes as well.  They are incredible & amazon offers the best price around.  I am so thankful for Betty Crocker for coming out with these mixes since my 3 year old has celiac disease and can't eat gluten.  This makes my life so much easier since friends and family can also purchase these products as well and no one can tell the difference between the gluten & the gluten free!!!,1,416,79,0.43203125000000003,0.9802,0.9990179538726807
520460,B007TJGZ18,A1FBHGNW57A0HS,Bikefeller,0,0,4,1322438400,Double Black Diamond,A nice strong brew. I am new to Keurig and have lived on French press for years. This coffee is strong enough to compete.  It is a little on the bitter side like some of Starbucks coffees but I consider that a plus. I would rate it 5 stars but it's not French press,1,265,54,0.14617003367003364,0.6348,0.9994500279426575
219516,B0043WOANY,APJUOLME891QY,Janet Kraus,0,0,5,1348012800,Fantastic!,"I just found PB2 and PB2 with chocolate and I am thrilled.  I love sugary goodies but I'm not a fan of calories and I don't like chocolate.  I thought I'd try PB2 with chocolate anyway and I'm so glad I did!  Eating a serving or two of PB2 with chocolate satisfies my sweet craving without breaking my calorie bank!  Sometimes, when I want to splurge, I spread some PB2 with chocolate on a graham cracker, spread some marshmallow fluff on another and sandwich them together! YUM!",1,479,87,0.40125,0.9438,0.9986036419868469
471274,B000E8UAEO,APCKJSP1JJTVV,"Hethra ""Hethra""",0,0,5,1322179200,Revolution tea is fantastic (for bagged tea),Delightful mint tea as one would expect. Note that each tea bag is NOT individually wrapped; there is one bag inside the box which holds all of the tea bags in a ziploc pouch. I purchased these as a wedding favor (herbal-themed wedding) and it was fun bagging each one in its own small bag with a nice printed label and ribbon. The tea bag itself is good quality; I've never had one rip open and spill tea leaves into the tea.,1,426,82,0.36875,0.9382,0.9993300437927246
291213,B000HQMLX6,A1J61JXXV8HEKB,Artinreality,0,0,5,1271116800,My father's favourite,"I bought this mix for my father after a recommendation from a friend, and my father loves it so much, I had to order more for him.",1,130,27,0.35,0.7845,0.04299004748463631
507390,B0009F3QKM,A29ZPM3UY9INO8,Ed,1,1,5,1334966400,Green Tea with Triple Echinacea,I like the flavor of this product (no sweetener or other additives by me) and the benefits of the echinacea has fended off colds since my start of this tea.  Just plain out good for me.,1,185,36,0.12023809523809521,0.7906,0.9977207779884338
319913,B003ZS4GNQ,A1MZEMD0EDETS6,C. Maynard,1,1,5,1337126400,My kids love these in their oatmeal,"I love Mott's Healthy Harvest applesauce cups. It is only fruit-no added sugar. These are blueberry, but in stores you can also get country berry, strawberry, peach, and granny smith apple. Most days, my kids have oatmeal. Instead of brown sugar, I stir in one of these cups which sweetens the oatmeal naturally as well as adds color in most cases.",1,348,61,0.35000000000000003,0.7269,0.9979158043861389
96071,B004G5ZYN8,A1E5N6AYSBYARO,TESS,0,0,5,1341360000,Thrilled with this!,"Our Black Lab, Moxie, LOVES to chew. We are thrilled with this natural chew. She loves it. She gets it for an hour or so each evening and you can tell she looks forward to it. Can't say enough good about it. Would highly recommend. Great quality,got it in two days. Overall, VERY satisfied.",1,290,54,0.31592592592592594,0.9723,0.9997655749320984
255371,B002OFU8JC,A7PPSGWM6385B,Herby S,0,0,5,1309996800,A good after workout snack,I purchased these to snack on after my workouts. Now I find myself just snacking on them all the time!! They're really good and come in a variety of flavors.,1,157,30,0.7,0.5827,0.9998353719711304
